,life_expectancy,alcohol,hepatitis_b,measles,polio,total_expenditure,diphtheria,hiv/aids,gdp,schooling,thinness_5-19_years
0,65.0,0.01,65,1.912931182772389,6.0,8.16,65.0,0.4641588833612779,584.25921,10.1,17.25
1,59.9,0.01,62,7.894446772968114,58.0,8.18,62.0,0.4641588833612779,612.696514,10.0,17.5
2,59.9,0.01,64,7.547842314287574,62.0,8.13,64.0,0.4641588833612779,631.744976,9.9,17.7
3,59.5,0.01,67,1.2599210498948732,67.0,8.52,67.0,0.4641588833612779,669.959,9.8,17.95
4,59.2,0.01,68,2.0,68.0,7.87,68.0,0.4641588833612779,63.537231,9.5,18.2
5,58.8,0.01,66,1.7099759466766968,66.0,9.2,66.0,0.4641588833612779,553.32894,9.2,18.4
6,58.6,0.01,63,1.2599210498948732,63.0,9.42,63.0,0.4641588833612779,445.8932979,8.9,18.65
7,58.1,0.03,64,1.2599210498948732,64.0,8.33,64.0,0.4641588833612779,373.3611163,8.7,18.85
8,57.5,0.02,63,1.2599210498948732,63.0,6.73,63.0,0.4641588833612779,369.835796,8.4,19.05
9,57.3,0.03,64,1.8171205928321397,58.0,7.43,58.0,0.4641588833612779,272.56377,8.1,19.25
10,57.3,0.02,66,1.5874010519681994,58.0,8.7,58.0,0.4641588833612779,25.2941299,7.9,19.4
11,57.0,0.02,67,7.752860546531822,5.0,8.79,5.0,0.4641588833612779,219.1413528,6.8,19.6
12,56.7,0.01,65,9.275435230216411,41.0,8.82,41.0,0.4641588833612779,198.7285436,6.5,19.799999999999997
13,56.2,0.01,64,1.7099759466766968,36.0,7.76,36.0,0.4641588833612779,187.84595,6.2,11.049999999999999
14,55.3,0.01,63,1.8171205928321397,35.0,7.8,33.0,0.4641588833612779,117.49698,5.9,2.25
15,54.8,0.01,62,2.0,24.0,8.2,24.0,0.4641588833612779,114.56,5.5,2.4
16,77.8,4.6,99,0.0,99.0,6.0,99.0,0.4641588833612779,3954.22783,14.2,1.25
17,77.5,4.51,98,0.0,98.0,5.88,98.0,0.4641588833612779,4575.763787,14.2,1.25
18,77.2,4.76,99,0.0,99.0,5.66,99.0,0.4641588833612779,4414.72314,14.2,1.35
19,76.9,5.14,99,2.080083823051904,99.0,5.59,99.0,0.4641588833612779,4247.61438,14.2,1.35
20,76.6,5.37,99,3.0365889718756622,99.0,5.71,99.0,0.4641588833612779,4437.17868,13.3,1.45
21,76.2,5.28,99,2.154434690031884,99.0,5.34,99.0,0.4641588833612779,494.358832,12.5,1.45
22,76.1,5.79,98,0.0,98.0,5.79,98.0,0.4641588833612779,4114.136545,12.2,1.55
23,75.3,5.61,99,0.0,99.0,5.87,99.0,0.4641588833612779,437.539647,12.0,1.6
24,75.9,5.58,98,2.802039330655387,99.0,6.1,98.0,0.4641588833612779,363.13685,11.6,1.65
25,74.2,5.31,98,4.081655101917348,97.0,5.86,97.0,0.4641588833612779,35.1293,11.4,1.75
26,73.5,5.16,98,1.8171205928321397,97.0,6.12,98.0,0.4641588833612779,279.142931,10.8,1.8
27,73.0,4.54,99,1.912931182772389,98.0,6.38,97.0,0.4641588833612779,2416.588235,10.9,1.85
28,72.8,4.29,97,2.0,97.0,6.27,97.0,0.4641588833612779,189.681557,10.7,1.95
29,73.3,3.73,96,2.5198420997897464,98.0,6.3,98.0,0.4641588833612779,1453.642777,10.7,2.05
30,73.6,4.25,96,2.6207413942088964,97.0,6.0,97.0,0.4641588833612779,1326.97339,10.6,2.1
31,72.6,3.66,96,8.715373355753327,97.0,6.26,97.0,0.4641588833612779,1175.788981,10.7,2.1500000000000004
32,75.6,0.01,95,3.9790572078963917,95.0,7.21,95.0,0.4641588833612779,4132.76292,14.4,5.9
33,75.4,0.01,95,0.0,95.0,7.21,95.0,0.4641588833612779,547.8517,14.4,5.9
34,75.3,0.53,95,2.924017738212866,95.0,7.12,95.0,0.4641588833612779,5471.866766,14.4,5.85
35,75.1,0.66,95,2.6207413942088964,95.0,6.14,95.0,0.4641588833612779,5564.82566,14.4,5.85
36,74.9,0.56,95,4.820284528350459,95.0,5.29,95.0,0.4641588833612779,5432.2523,14.0,5.85
37,74.7,0.45,95,4.687548147653597,95.0,5.12,95.0,0.4641588833612779,4463.394675,13.6,5.85
38,74.4,0.5,94,4.7474593985234,94.0,5.36,95.0,0.4641588833612779,3868.83123,13.1,5.95
